Time, Fuel
3190, 628.5
3197, 628
3204, 627.5
3211, 627
3218, 626.5
3225, 625.5
3232, 624.5
3239, 623.5
3246, 622.5
3253, 621.5
3260, 620.5
3267, 619.5
3274, 618.5
3281, 617.5
3287, 616.5
3295, 615.5
3301, 614.5
3308, 613.5
3315, 612.5
3322, 611.5
3329, 610.5
3336, 609.5
3343, 608.5
3350, 607.5
3357, 606.5
3364, 605.5
3371, 604.5
3378, 603.5
3385, 602.5
3392, 601.5
3399, 600.5
3406, 599.5
3413, 598.5
3420, 597.5
3427, 596.5
3433, 595.5
3440, 594.5
3447, 593.5
3454, 592.5
3461, 591.5
3468, 590.5
3475, 589.5
3482, 588.5
3489, 587.5
3496, 586.5
3503, 585.5
3510, 584.5
3517, 583.5
3524, 582.5
3531, 581.5
3538, 580.5
3545, 579.5
3551, 578.5
3559, 577.5
3565, 576.5
3572, 575.5
3579, 574.5
3586, 573.5
3593, 572.5
3600, 571.5
3607, 570.5
3614, 569.5
3621, 568.5
3628, 567.5
3635, 566.5
3642, 565.5
3649, 564.5
3656, 563.5
3663, 562.5
3670, 561.5
3676, 560.5
3683, 559.5
3691, 558.5
3697, 557.5
3704, 556.5
3711, 555.5
3718, 554.5
3725, 553.5
3732, 552.5
3739, 551.5
3746, 550.5
3753, 549.5
3760, 548.5
3767, 547.5
3774, 546.5
3781, 545.5
3788, 544.5
3795, 543.5
3802, 542.5
3809, 541.5
3816, 540.5
3823, 539.5
3829, 538.5
3836, 537.5
3843, 536.5
3850, 535.5
3857, 534.5
3864, 533.5
3871, 532.5
3878, 531.5
3885, 530.5
3892, 529.5
3899, 528.5
3906, 527.5
3913, 526.5
3920, 525.5
3927, 524.5
3934, 523.5
3940, 522.5
3947, 521.5
3955, 520.5
3961, 519.5
3968, 518.5
3975, 517.5
3982, 516.5
3989, 515.5
3996, 514.5
4003, 513.5
4010, 512.5
4017, 511.5
4024, 510.5
4031, 509.5
4038, 508.5
4045, 507.5
4052, 506.5
4059, 505.5
4066, 504.5
4073, 503.5
4080, 502.5
4086, 501.5
4094, 500.5
4100, 499.5
4107, 498.5
4114, 497.5
4121, 496.5
4128, 495.5
4135, 494.5
4142, 493.5
4149, 492.5
4156, 491.5
4163, 490.5
4170, 489.5
